861;BELFAST;54.6000;-5.9167
984;BELLA BELLA;52.1667;-128.133
1084;BELLA COOLA;52.3667;-126.783
2069;BELLEDUNE;47.9000;-65.85
859;BELYI NOS;69.6000;60.2167
2200;BENOA B;-8.7467;115.2117
1637;BERGEN POINT, STATEN IS.;40.6367;-74.1417
58;BERGEN;60.3980;5.3205
442;BERLEVAG;70.8500;29.1000
1804;BETIO;1.3651;172.9330
420;BHAUNAGAR I;21.8000;72.3000
804;BHAUNAGAR II;21.7500;72.2333
1806;BILBAO;43.3515;-3.0451
708;BILLINGA;69.8833;175.7667
1833;BINTULU;3.2622;113.0639
765;BIRKENHEAD (ALFRED DOCK);53.4000;-3.0167
1709;BITUNG II;1.4333;125.2000
90;BJORN;60.6333;17.9667
213;BLUFF (SOUTHLAND HARBOUR);-46.5977;168.3454
562;BODO;67.2883;14.3908
1680;BODRUM II;37.0333;27.4167
651;BOLVANSKII NOS (FEDOROVA);70.4500;59.0833
212;BOMBAY (PRINCES DOCK);18.9500;72.8333
1809;BONANZA;36.8022;-6.3381
2135;BONAVISTA;48.6510;-53.115
1268;BOOBY ISLAND;-10.6026;141.9101
1037;BORKUM (FISCHERBALJE);53.5575;6.7478
1675;BORYEONG;36.4064;126.4861
235;BOSTON;42.3533;-71.0533
1801;BOUCAU;43.5273;-1.5148
471;BOULOGNE;50.7275;1.5775
317;BOURGAS;42.4833;27.4833
1878;BOURNEMOUTH;50.7143;-1.8749
1259;BOUTILIER POINT;44.6667;-63.9667
2074;BOWEN II;-20.0167;148.2500
1;BREST;48.3829;-4.4948
1068;BRIDGEPORT;41.1733;-73.1817
677;BRIGHTON;-35.0333;138.5167
822;BRISBANE (WEST INNER BAR);-27.3667;153.1667
803;BRONNOYSUND;65.4833;12.2167
1159;BROOME;-18.0008;122.2186
2310;BRUNSWICK HEADS;-28.5368;153.5521
1281;BUCKIE;57.6667;-2.9667
1720;BUCKSPORT, WACCAMAW R.;33.6467;-79.095
456;BUENAVENTURA;3.9000;-77.1
157;BUENOS AIRES;-34.6;-58.3667
2025;BUGRINO;68.8000;49.3333
2032;BUKOM;1.2256;103.7785
2346;BULLEN BAY;12.1870;-69.02
834;BUNBURY;-33.3234;115.6600
1154;BUNDABERG, BURNETT HEADS;-24.7667;152.3833
735;BUORHAIA (BUORHAIA MYS);71.9500;132.7667
683;BURNIE;-41.0501;145.9150
2250;BUSAN NEW PORT;35.0775;128.7869
955;BUSAN;35.0961;129.0356
776;BUZZARDS BAY;41.7417;-70.6167
1399;BYKOV MYS (BYKOV MYS);72.0000;129.1167
1910;CABO CRUZ;19.8333;-77.7333
1297;CABO DE SAN ANTONIO;21.9000;-84.9
1355;CABO SAN LUCAS;22.8833;-109.9
209;CADIZ II;36.5278;-6.3114
985;CADIZ III;36.5401;-6.2862
2089;CAGLIARI II;39.2102;9.1143
104;CAGLIARI;39.2000;9.1667
953;CAIRNS;-16.9167;145.7833
455;CALAIS;50.9694;1.8677
619;CALDERA;-27.0667;-70.8333
994;CALETA PERCY;-52.9;-70.2667
1274;CALLAO 2;-12.05;-77.15
1132;CAMBRIDGE BAY;69.1167;-105.067
1295;CAMBRIDGE II;38.5733;-76.0683
481;CAMBRIDGE;38.5750;-76.0717
549;CAMP COVE;-33.8333;151.2833
1323;CAMPBELL RIVER;50.0167;-125.233
726;CANANEIA;-25.0167;-47.9333
699;CANAVIEIRAS;-15.6667;-38.9667
2031;CAP AUX MEULES;47.3789;-61.8573
1492;CAPE FERGUSON;-19.2773;147.0584
2294;CAPE HATTERAS, NORTH CAROLINA;35.2233;-75.635
1328;CAPE LAMBERT;-20.588;117.1860
1153;CAPE MAY;38.9683;-74.96
1282;CAPE PARRY;70.1500;-124.667
1763;CAPE ROBERTS ANTARCTICA;-77.0339;163.1912
873;CAPO PASSERO;36.6667;15.3000
2076;CARLOFORTE;39.1480;8.3095
1115;CARNARVON;-24.8987;113.6510
1460;CARTAGENA 1;37.5973;-0.9743
572;CARTAGENA;10.4000;-75.55
52;CASCAIS;38.6833;-9.4167
1886;CASEY;-66.2667;110.5167
2021;CASILDA II;21.7533;-79.9917
2094;CATANIA II;37.4981;15.0938
102;CATANIA;37.5000;15.1333
2172;CATICLAN MALAY AKLAN;11.9500;121.9333
2289;CAYO LOCO;22.1505;-80.4545
394;CEBU;10.3000;123.9167
199;CEDAR KEY I;29.1333;-83.0333
428;CEDAR KEY II;29.1350;-83.0317
1592;CENDERING;5.2650;103.1867
2207;CENTURI;42.9658;9.3498
498;CEUTA;35.8924;-5.3159
2228;CHABAHAR II;25.2958;60.6033
1201;CHAMPERICO;14.2833;-91.9167
1005;CHAMPLAIN;46.4333;-72.4
1496;CHARCHANGA;22.2167;91.0500
234;CHARLESTON I;32.7817;-79.925
1269;CHARLESTON II;43.3450;-124.322
1393;CHARLOTTE AMALIE;18.3350;-64.92
427;CHARLOTTETOWN;46.2333;-63.1167
1920;CHATHAM ISLAND;-43.9463;-176.561
205;CHENNAI;13.1000;80.3000
467;CHERBOURG;49.6513;-1.6356
1633;CHERRY POINT;48.8633;-122.757
1635;CHESAPEAKE BAY BR. TUN.;36.9667;-76.1133
650;CHETYREHSTOLBOVOI;70.6333;162.4833
987;CHI MA WAN, LANTAU ISLAND;22.2333;114.0000
1391;CHICHIJIMA;27.0833;142.1833
771;CHIMBOTE;-9.0833;-78.6333
970;CHINHAE;35.1500;128.6500
2196;CHITTAGONG A;22.2467;91.8250
879;CHOSHI I;35.7333;140.8667
