id lat lon provider
PZA200SVN 45.5908 15.2607 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
KILP00FIN 68.9416 20.9141 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
TABG00POL 50.571 21.6712 INGV|SGO-EPND|UGA-CNRS
RCER00ITA 45.8279 13.3391 INGV|SGO-EPND|UGA-CNRS
PAVO00ITA 41.7266 12.6148 INGV|SGO-EPND|UGA-CNRS
FYNO00DNK 55.3353 10.7425 INGV|SGO-EPND|UGA-CNRS
GHIS00BEL 50.4537 3.8831 INGV|SGO-EPND|UGA-CNRS
ANIK00GRC 36.826 22.2826 INGV|SGO-EPND|UGA-CNRS
PBCM00BEL 50.7388 5.9605 INGV|UGA-CNRS
LOSV00ITA 38.4457 14.9482 INGV|SGO-EPND|UGA-CNRS
YEAL00GBR 54.1623 -1.1001 INGV|SGO-EPND|UGA-CNRS
CMEL00ITA 43.958 8.17 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
LGBO00FRA 45.3871 0.5879 INGV
PESS00FRA 44.8061 -0.6067 INGV
LIAR00GBR 49.9692 -5.1878 INGV|SGO-EPND|UGA-CNRS
SARL00FRA 49.0025 7.0313 INGV
ANNY00FRA 45.8978 6.1142 INGV
ESLN00ITA 37.6931 14.9748 INGV|SGO-EPND|UGA-CNRS
ARCI00FRA 48.3337 0.8364 INGV
SMSP00FRA 49.1152 4.5814 INGV
EUSK00DEU 50.6741 6.7635 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
PENC00HUN 47.7896 19.2815 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
ZGZA00ESP 41.6523 -0.8762 INGV|UGA-CNRS
MGRD00ITA 45.9753 12.0151 INGV|SGO-EPND|UGA-CNRS
M0SE00ITA 41.8931 12.4933 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
GRAZ00AUT 47.0671 15.4935 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
HAR100ROU 44.6883669198417 27.9574164210098 SGO-EPND
APPL00GBR 51.0569 -4.1996 INGV|SGO-EPND|UGA-CNRS
GVDG00GRC 34.8384 24.109 INGV|UGA-CNRS
CMOR00UKR 46.2900538844756 30.6540987026705 SGO-EPND
REYK00ISL 64.1388 -21.9555 INGV|SGO-EPND|UGA-CNRS
RST200FRA 43.941 5.4837 INGV
FRAR00GBR 57.6936 -2.0027 INGV|SGO-EPND|UGA-CNRS
CMBO00CZE 50.412878766564 14.9059644576939 SGO-EPND
ARAS00ESP 39.945 -1.1016 INGV|SGO-EPND|UGA-CNRS
LDB200DEU 52.2091 14.1209 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
LEIR00PRT 39.7315 -8.7948 INGV|SGO-EPND|UGA-CNRS
LEIT00ESP 43.082 -1.9142 INGV|SGO-EPND|UGA-CNRS
ALCI00UKR 48.4567 38.906 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
FETA00FRA 49.2008 3.5093 INGV
ALSN00ITA 44.9232 8.6164 INGV|SGO-EPND|UGA-CNRS
RVLG00REU -21.2559 55.7006 INGV|UGA-CNRS
ARYB00ROU 47.618 25.211 INGV|SGO-EPND|UGA-CNRS
WLBR00POL 50.768 16.2801 INGV|SGO-EPND|UGA-CNRS
LAZK00ESP 43.0346 -2.1869 INGV|SGO-EPND
MIDI00ROU 44.3462 28.6829 INGV
LEK600SWE 60.7222 14.8771 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
MAON00ITA 42.4282 11.1307 INGV|UGA-CNRS
MDNR00ESP 41.8888 -5.0487 INGV|SGO-EPND|UGA-CNRS
MEIX00BEL 49.624 5.4441 INGV|SGO-EPND|UGA-CNRS
WRLG00DEU 49.145 12.8757 INGV|SGO-EPND|UGA-CNRS|ROB-EUREF
ASAP00GBR 53.2513 -3.4801 INGV|SGO-EPND|UGA-CNRS
BRLD00ROU 46.233 27.6443 INGV|SGO-EPND|UGA-CNRS
CELI00ITA 39.4027 16.5088 INGV|SGO-EPND|UGA-CNRS
NARB00FRA 43.1983 2.9726 INGV
FYHA00DNK 54.9936 9.9863 INGV|SGO-EPND|UGA-CNRS
GESR00DNK 54.5744 11.9229 INGV|SGO-EPND|UGA-CNRS
MNOV00ITA 38.0286 15.1356 INGV|SGO-EPND|UGA-CNRS
HVZN00ITA 37.1783 14.7155 INGV|SGO-EPND|UGA-CNRS
MTTO00ITA 42.4555 12.9927 INGV|SGO-EPND|UGA-CNRS
RAYL00FRA 43.1605 6.4939 INGV
KUN000SWE 56.1042 15.589 INGV|SGO-EPND|UGA-CNRS
LARN00ITA 41.7281 12.833 INGV|SGO-EPND|UGA-CNRS
SGIL00FRA 43.677 4.4337 INGV
PETE00GBR 52.5838 -0.2632 INGV|SGO-EPND|UGA-CNRS
SJDA00FRA 45.9489 -0.5093 INGV
