# Events file v1.0
#
# DATE            : 2025-04-02 at 20:58:13 (UTC)
# SITE            : 9-character site ID
# DDDDD.DDDD      : Decimal modified Julian day
# YYYYMMDDHRMN    : Year, month, day, hour, minute
# TYPE            : Either CHANGE (equipment), EQ (earthquake)
# DESCRIPTION     : CHANGE events are taken from SPOTGINS station_file.dat
#                 : EQ events comes from the PyTRF Python librairy (P. Rebischung), based on Metivier et. al, 2014 model
#
#____SITE DDDDD.DDDD YYYYMMDDHRMN __TYPE DESCRIPTION
KERG00ATF 55761.3993 201107190935 CHANGE Receiver change
KERG00ATF 55943.3556 201201170832 CHANGE Receiver change
KERG00ATF 56280.3333 201212190800 CHANGE Other site log entry (firmware upgrade, cable change, ...)
KERG00ATF 56820.6007 201406121425 CHANGE Other site log entry (firmware upgrade, cable change, ...)
KERG00ATF 57196.3750 201506230900 CHANGE Other site log entry (firmware upgrade, cable change, ...)
KERG00ATF 57316.5146 201510211221 CHANGE Other site log entry (firmware upgrade, cable change, ...)
KERG00ATF 57601.4757 201608011125 CHANGE Other site log entry (firmware upgrade, cable change, ...)
KERG00ATF 57738.5243 201612161235 CHANGE Other site log entry (firmware upgrade, cable change, ...)
KERG00ATF 57966.4160 201708010959 CHANGE Other site log entry (firmware upgrade, cable change, ...)
KERG00ATF 58169.5951 201802201417 CHANGE Other site log entry (firmware upgrade, cable change, ...)
KERG00ATF 58337.3799 201808070907 CHANGE Other site log entry (firmware upgrade, cable change, ...)
KERG00ATF 58514.6493 201901311535 CHANGE Other site log entry (firmware upgrade, cable change, ...)
KERG00ATF 58780.4174 201910241001 CHANGE Other site log entry (firmware upgrade, cable change, ...)
KERG00ATF 58898.5729 202002191345 CHANGE Other site log entry (firmware upgrade, cable change, ...)
KERG00ATF 58994.6701 202005251605 CHANGE Other site log entry (firmware upgrade, cable change, ...)
KERG00ATF 59961.3500 202301170824 CHANGE Receiver change
KERG00ATF 60018.2083 202303150500 CHANGE Other site log entry (firmware upgrade, cable change, ...)
KERG00ATF 60180.2174 202308240513 CHANGE Other site log entry (firmware upgrade, cable change, ...)
KETG00ATF 54417.0000 200711130000 CHANGE Radome change
KETG00ATF 55168.4271 200912031015 CHANGE Radome change
KETG00ATF 55168.5799 200912031355 CHANGE Other site log entry (firmware upgrade, cable change, ...)
KETG00ATF 56739.5000 201403231200 CHANGE Receiver change
KETG00ATF 57498.5000 201604201200 CHANGE Radome change
MARS00FRA 51393.0000 199908030000 CHANGE Other site log entry (firmware upgrade, cable change, ...)
MARS00FRA 52726.0000 200303280000 CHANGE Receiver & Antenna change
MARS00FRA 53214.0000 200407280000 CHANGE Antenna & Radome change
MARS00FRA 53215.0000 200407290000 CHANGE Receiver change
