# Offset file v1.0
#
# SITE            : 9-character site ID
# DDDDD.DDDD      : Decimal modified Julian day
# YYYYMMDDHRMN    : Year, month, day, hour, minute
# TYPE            : Either CHANGE (equipment), EQ (earthquake) or UNK (unknown)
# DN/SN           : Estimated north offset and 1-sigma standard deviation in mm [Optional, -9999999 by default]
# DE/SE           : Estimated east offset and 1-sigma standard deviation in mm [Optional, -9999999 by default]
# DU/SU           : Estimated height offset and 1-sigma standard deviation in mm [Optional, -9999999 by default]
# DESCRIPTION     : Free format comment [Optional]
#
#____SITE DDDDD.DDDD YYYYMMDDHRMN __TYPE ______DN ______SN ______DE ______SE ______DU ______SU DESCRIPTION
ALPE00FRA 57778.4111 201701250952 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
ALPE00FRA 58462.5368 201812101253 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AMB200FRA 55473.5833 201010041400 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver, Antenna & Radome change
AMB200FRA 56811.6250 201406031500 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
AMB200FRA 58392.6771 201810011615 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ANAY00FRA 57829.5000 201703171200 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Antenna & Radome change
ANAY00FRA 58357.4167 201808271000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ANAY00FRA 58438.6250 201811161500 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ANCY00FRA 55874.0000 201111090000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ANCY00FRA 55984.0000 201202270000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
ANGE00FRA 55132.0000 200910280000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
ANGE00FRA 56342.0000 201302190000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver, Antenna & Radome change
ANGE00FRA 59144.6250 202010221500 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ARGR00FRA 55652.3750 201104010900 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Antenna & Radome change
ARGR00FRA 55652.5299 201104011243 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ARGR00FRA 57731.3750 201612090900 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
ARUF00FRA 59638.6458 202202281530 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
ATST00FRA 55880.3750 201111150900 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
ATST00FRA 56308.3750 201301160900 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
ATST00FRA 58394.4479 201810031045 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
AUBU00FRA 57241.3903 201508070922 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AUBU00FRA 57659.5708 201609281342 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver & Antenna change
AUBU00FRA 59486.3882 202109290919 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AUCH00FRA 55160.3333 200911250800 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver, Antenna & Radome change
AUCH00FRA 58168.4861 201802191140 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
AUTN00FRA 55076.0000 200909020000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver, Antenna & Radome change
AUTN00FRA 55644.2500 201103240600 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AUTN00FRA 55802.2083 201108290500 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AUTN00FRA 56071.2500 201205240600 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AUTN00FRA 56448.3333 201306050800 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Antenna change
AUTN00FRA 56448.4167 201306051000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
AUTN00FRA 56576.4167 201310111000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AUTN00FRA 56708.4167 201402201000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AUTN00FRA 56859.0000 201407210000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AUTN00FRA 56918.5000 201409181200 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AUTN00FRA 56967.3750 201411060900 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AUTN00FRA 57220.3333 201507170800 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AUTN00FRA 57567.0000 201606280000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AUTN00FRA 57701.4167 201611091000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AUTN00FRA 57968.4167 201708031000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AUTN00FRA 58357.5417 201808271300 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AUTN00FRA 58451.5625 201811291330 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AUTN00FRA 58555.6042 201903131430 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AUTN00FRA 59617.5833 202202071400 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver change
AVAL00FRA 57800.3333 201702160800 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AVAL00FRA 57996.5521 201708311315 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AVR200FRA 58757.3569 201910010834 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AVR200FRA 58794.4035 201911070941 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Antenna & Radome change
AVR200FRA 59872.5208 202210201230 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AVRA00FRA 57801.4167 201702171000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AXPV00FRA 54844.0000 200901130000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver & Antenna change
AXPV00FRA 54962.0000 200905110000 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AXPV00FRA 55482.4583 201010131100 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AXPV00FRA 55643.3750 201103230900 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AXPV00FRA 55726.2917 201106140700 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
AXPV00FRA 55854.3333 201110200800 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Receiver, Antenna & Radome change
AXPV00FRA 56078.2917 201205310700 CHANGE -9999999 -9999999 -9999999 -9999999 -9999999 -9999999 Other site log entry (firmware upgrade, cable change, ...)
